season,round,pick,team,pfr_player_id,pfr_player_name,college,position,position_rank,ht,wt,forty,bench,vertical,broad_jump,cone,shuttle,unique_id,college_carries,college_tds,college_yards,college_long,college_ypc,pfr_id,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,receptions,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,fantasy_points
2017,7,238,GNB,MaysDe00,Devante Mays,Utah St.,RB,RB23,,,,,,,,,devantemaysrbutahst,202.0,12.0,1225.0,66.0,6.1,MaysDe00,4.0,1.0,0.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,1.1
2017,7,241,TEN,MuhaKh00,Khalfani Muhammad,California,RB,RB24,,,,,,,,,khalfanimuhammadrbcalifornia,359.0,11.0,2073.0,74.0,5.8,MuhaKh00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017,7,242,OAK,HoodEl00,Elijah Hood,North Carolina,RB,RB25,6-0,232.0,,18.0,,,,,elijahhoodrbnorthcarolina,431.0,29.0,2580.0,67.0,6.0,HoodEl00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017,7,249,SEA,CarsCh00,Chris Carson,Oklahoma St.,RB,RB26,6-0,218.0,4.58,23.0,37.0,130.0,,,chriscarsonrboklahomast,213.0,13.0,1076.0,26.0,5.1,CarsCh00,49.0,208.0,0.0,0.0,0.0,7.0,59.0,1.0,0.0,0.0,39.7
2017,7,252,CLE,DayeMa00,Matthew Dayes,North Carolina St.,RB,RB27,5-9,205.0,4.47,18.0,28.0,109.0,,,matthewdayesrbnorthcarolinast,,,,,,DayeMa00,5.0,13.0,0.0,0.0,0.0,4.0,29.0,0.0,0.0,0.0,8.2
2018,1,2,NYG,BarkSa00,Saquon Barkley,Penn St.,RB,RB1,6-0,233.0,4.4,29.0,41.0,,,4.24,saquonbarkleyrbpennst,671.0,43.0,3843.0,92.0,5.7,BarkSa00,261.0,1307.0,11.0,0.0,0.0,91.0,721.0,4.0,0.0,0.0,383.8
2018,1,27,SEA,PennRa00,Rashaad Penny,San Diego St.,RB,RB2,5-11,220.0,4.46,13.0,32.5,120.0,,,rashaadpennyrbsandiegost,487.0,38.0,3643.0,95.0,7.5,PennRa00,85.0,419.0,2.0,0.0,0.0,9.0,75.0,0.0,0.0,0.0,70.4
2018,1,31,NWE,MichSo00,Sony Michel,Georgia,RB,RB3,5-11,214.0,4.54,22.0,,,,4.21,sonymichelrbgeorgia,591.0,33.0,3638.0,75.0,6.2,MichSo00,209.0,931.0,6.0,1.0,1.0,7.0,50.0,0.0,0.0,0.0,139.1
2018,2,35,CLE,ChubNi00,Nick Chubb,Georgia,RB,RB4,5-11,227.0,4.52,29.0,38.5,128.0,7.09,4.25,nickchubbrbgeorgia,758.0,44.0,4769.0,83.0,6.3,ChubNi00,192.0,996.0,8.0,0.0,0.0,20.0,149.0,2.0,0.0,0.0,194.5
2018,2,38,TAM,JoneRo01,Ronald Jones II,USC,RB,RB5,5-11,205.0,4.65,,36.5,,,,ronaldjonesiirbusc,591.0,39.0,3619.0,86.0,6.1,JoneRo01,23.0,44.0,1.0,0.0,0.0,7.0,33.0,0.0,0.0,0.0,20.7
2018,2,43,DET,JohnKe06,Kerryon Johnson,Auburn,RB,RB6,5-11,213.0,,11.0,40.0,126.0,7.07,4.29,kerryonjohnsonrbauburn,519.0,32.0,2494.0,60.0,4.8,JohnKe06,118.0,641.0,3.0,1.0,1.0,32.0,213.0,1.0,0.0,0.0,139.4
2018,2,59,WAS,GuicDe00,Derrius Guice,LSU,RB,RB7,5-10,224.0,4.49,15.0,31.5,,,,derriusguicerblsu,471.0,29.0,3074.0,96.0,6.5,GuicDe00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
